encoded_sequence,label,is_normal
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P q r S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q r s T,0.0,1
P Q R S t,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q r S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q R S T,0.0,1
p Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
p q r s T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
p q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R s t,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
P Q R S T,0.0,1
